Complaint ID,truth,predicted,confidence,text
CID57069205,Debt collection,Credit reporting,0.8317078293386581,I have disputed the credit account multiple times and the account still remain on all redacted of my credit profiles. I have also obtained a police report stating I was a victim of identity theft. I have asked for this account to be removed numerous amounts of times but to no avail. Please help me r
CID94921799,Credit reporting,Bank account,0.8256403379040501,"Basically, I think back in redacted or redacted I had an account at Bank of ABC and I was involved in a scam fraud case. Some redacted ABCn male sent me a direct message on redacted and he wanted me to send him my banking account info. I said yes foolishly not knowing the consequences of my actions."
CID73366599,Bank account,Credit reporting,0.8182184598620835,Inaccurate information on the report State driver license number is inaccurate information residence address is inaccurate information based on the Information listed is totally inaccurate information reporting Banking institution failed to corresponding and investigate accurate information to preve
CID83844735,Credit card,Credit reporting,0.8176914503983307,The BANK OF ABC account that is being furnished on my Credit Report is inaccurate and old. The account included in the bankruptcy are removed after seven years. Please investigate the date of this account being reported as a bankruptcy. I've already sent letters to both the Credit Bureaus and the fu
CID98155755,Credit card,Bank account,0.813685046845007,"redacted BANK OF ABC money deposit, money money money redacted Lost deposit money money money money money money money money money money redacted Account number redacted Routing number redacted Address redacted Social security redacted Submit Complaint Top Right"
CID66012939,Loan,Credit reporting,0.806945832923436,gm financial made a hard inquire on my credit report without my consent
CID61867523,Credit reporting,Mortgage,0.8065194806925171,I am a member of Bank of ABC for which whom I have a current Mortgage with. redacted and redacted of redacted B of A reported to the redacted Credit Bureau 's that I was late on Payment 's. I am currently enrolled in redacted and filed a complaint and provided proof with Bank Statements showing I wa
CID79062859,Debt collection,Credit card,0.8057813610159672,"EXECUTIVE SUMMARY A fraudulent application was made in my name for an redacted credit card on redacted Bank of ABC notified me of a possible fraudulent application in a letter dated redacted . Upon calling BoA on redacted , the agent confirmed the account was fraud, and disclosed the last redacted o"
CID67776966,Credit reporting,Mortgage,0.8011817971125547,"I AM WRITING IN REGARDS TO A LETTER RECEIVED BY BANK OF ABC DATE redacted . APPARENTLY, SOMEONE SUBMITTED A CLAIM PERTAINING TO THIS FRAUDULENT LOAN. WE DID NOT. PLEASE NOTE WE INVESTIGATED THE COMPLIANT AND NOTICE THE FOLLOWING : 1. THE ADDRESS IS NOT THE CORRECT ADDRESS FOR BOA 'S MORTGAGE AND LOA"
CID81725467,Credit card,Credit reporting,0.7990848970621092,"Bank of ABC offers credit card pre-approval at the following website https : redacted This is actually a fake pre-approval as erroneous information can be entered and it will still recommend you apply for cards. They do not actually do an inquiry of any kind. I've contacted Bank of ABC on this, requ"
CID20998529,Bank account,Credit reporting,0.7940781100515085,"On my report from redacted there is a listing from U.S. Bank my bankruptcy filed on redacted included this account. Fair Credit Reporting Act makes clear that a debt discharged in bankruptcy must be listed as having a 0 balance. FTC OSC section 607, item 6 states : "" A consumer report may include an"
CID73880253,Credit reporting,Bank account,0.7914894898820959,"Bank of ABC, fraudulent account opened, redacted - money - A fraudulent account was opened in my name at Bank of ABC. redacted fraudulent account opened, redacted - money ."
CID51779693,Credit reporting,Credit card,0.7888937681762108,Bank of ABC sent me an email that I apply for credit card which I didnt. Later the back send Credit inquiry file to damage my credit line. I have never applied their credit card at all not sure why they send to credit report about my credit inquiry.
CID93508979,Loan,Bank account,0.7855405079015126,I had a balance assist with bank of ABC for money I have hit some financial trouble I'm redacted right now and was unable to make the payments recently I deposited some money I got from my ex to buy my daughter clothes they took redacted on redacted most of my money that was deposited in my account 
